start_time          | end_time            | req_path        | resp_code | resp_body
24.05.2015 14:00:01 | 24.05.2015 14:00:05 | /index.html     | 200       | Welcome to the homepage!
24.05.2015 14:00:05 | 24.05.2015 14:00:08 | /about.html     | 200       | About us information.
24.05.2015 14:01:00 | 24.05.2015 14:01:01 | /contact.html   | 200       | Contact us at example@example.com
24.05.2015 14:01:30 | 24.05.2015 14:01:31 | /products.html  | 200       | Our product catalog.
24.05.2015 14:02:00 | 24.05.2015 14:02:04 | /index.html     | 200       | Welcome to the homepage!
24.05.2015 14:03:15 | 24.05.2015 14:03:17 | /services.html  | 200       | Our services provided.
24.05.2015 14:04:20 | 24.05.2015 14:04:22 | /404.html       | 404       | Page not found.
24.05.2015 14:05:00 | 24.05.2015 14:05:10 | /login.html     | 200       | Please login to continue.
24.05.2015 14:06:10 | 24.05.2015 14:06:15 | /signup.html    | 200       | Create a new account.
24.05.2015 14:07:30 | 24.05.2015 14:07:33 | /products.html  | 200       | Our product catalog.
24.05.2015 14:08:20 | 24.05.2015 14:08:28 | /services.html  | 200       | Our services provided.
24.05.2015 14:09:15 | 24.05.2015 14:09:17 | /index.html     | 200       | Welcome to the homepage!
24.05.2015 14:10:00 | 24.05.2015 14:10:03 | /404.html       | 404       | Page not found.
24.05.2015 14:11:05 | 24.05.2015 14:11:06 | /contact.html   | 200       | Contact us at example@example.com
24.05.2015 14:12:00 | 24.05.2015 14:12:03 | /login.html     | 500       | Internal server error.
